lat,lng
51.75,-177.25
51.75,-176.75
53.25,-168.25
53.75,-166.75
53.75,-166.25
54.75,-164.25
54.75,-163.75
54.75,-163.25
55.25,-162.75
55.25,-162.25
55.25,-160.75
55.75,-161.75
55.75,-161.25
55.75,-160.25
56.25,-160.25
56.25,-159.75
56.25,-159.25
56.25,-158.75
56.75,-158.75
56.75,-158.25
56.75,-157.75
57.25,-158.25
57.25,-157.75
57.25,-157.25
57.25,-156.75
57.25,-154.25
57.25,-153.75
57.25,-153.25
57.75,-157.25
57.75,-156.75
57.75,-156.25
57.75,-155.75
57.75,-153.75
57.75,-153.25
57.75,-152.75
58.25,-157.25
58.25,-156.75
58.25,-156.25
58.25,-155.75
58.25,-155.25
58.25,-154.75
58.25,-154.25
58.25,-152.75
58.25,-152.25
58.75,-161.75
58.75,-160.75
58.75,-159.25
58.75,-158.25
58.75,-157.75
58.75,-156.75
58.75,-156.25
58.75,-155.75
58.75,-155.25
58.75,-154.75
58.75,-154.25
58.75,-153.75
59.25,-161.75
59.25,-161.25
59.25,-160.75
59.25,-160.25
59.25,-159.75
59.25,-159.25
59.25,-158.75
59.25,-158.25
59.25,-157.75
59.25,-157.25
59.25,-156.75
59.25,-156.25
59.25,-155.75
59.25,-155.25
59.25,-154.75
59.25,-154.25
59.25,-151.75
59.25,-151.25
59.75,-161.75
59.75,-161.25
59.75,-160.75
59.75,-160.25
59.75,-159.75
59.75,-159.25
59.75,-158.75
59.75,-158.25
59.75,-157.75
59.75,-157.25
59.75,-156.75
59.75,-156.25
59.75,-155.75
59.75,-155.25
59.75,-154.75
59.75,-154.25
59.75,-153.75
59.75,-153.25
59.75,-151.75
59.75,-151.25
59.75,-150.75
59.75,-150.25
60.25,-166.75
60.25,-166.25
60.25,-165.75
60.25,-164.25
60.25,-163.75
60.25,-163.25
60.25,-162.75
60.25,-162.25
60.25,-161.75
60.25,-161.25
60.25,-160.75
60.25,-160.25
60.25,-159.75
60.25,-159.25
60.25,-158.75
60.25,-158.25
60.25,-157.75
60.25,-157.25
60.25,-156.75
60.25,-156.25
60.25,-155.75
60.25,-155.25
60.25,-154.75
60.25,-154.25
60.25,-153.75
60.25,-153.25
60.25,-152.75
60.25,-151.25
60.25,-150.75
60.25,-150.25
60.25,-149.75
60.25,-149.25
60.25,-148.75
60.25,-148.25
60.75,-164.75
60.75,-163.25
60.75,-162.75
60.75,-162.25
60.75,-161.75
60.75,-161.25
60.75,-160.75
60.75,-160.25
60.75,-159.75
60.75,-159.25
60.75,-158.75
60.75,-158.25
60.75,-157.75
60.75,-157.25
60.75,-156.75
60.75,-156.25
60.75,-155.75
60.75,-155.25
60.75,-154.75
60.75,-154.25
60.75,-153.75
60.75,-153.25
60.75,-152.75
60.75,-152.25
60.75,-151.75
60.75,-151.25
60.75,-150.75
60.75,-150.25
60.75,-149.75
60.75,-149.25
60.75,-148.75
60.75,-148.25
60.75,-146.25
60.75,-145.75
60.75,-145.25
60.75,-144.75
61.25,-165.25
61.25,-164.75
61.25,-164.25
61.25,-163.75
61.25,-163.25
61.25,-162.75
61.25,-162.25
61.25,-161.75
61.25,-161.25
61.25,-160.75
61.25,-160.25
61.25,-159.75
61.25,-159.25
61.25,-158.75
61.25,-158.25
61.25,-157.75
61.25,-157.25
61.25,-156.75
61.25,-156.25
61.25,-155.75
61.25,-155.25
61.25,-154.75
61.25,-154.25
61.25,-153.75
61.25,-153.25
61.25,-152.75
61.25,-152.25
61.25,-151.75
61.25,-151.25
61.25,-150.75
61.25,-149.75
61.25,-149.25
61.25,-148.75
61.25,-148.25
61.25,-147.25
61.25,-146.75
61.25,-146.25
61.25,-145.75
61.25,-145.25
61.25,-144.75
61.75,-165.75
61.75,-165.25
61.75,-164.75
61.75,-164.25
61.75,-163.75
61.75,-163.25
61.75,-162.75
61.75,-162.25
61.75,-161.75
61.75,-161.25
61.75,-160.75
61.75,-160.25
61.75,-159.75
61.75,-159.25
61.75,-158.75
61.75,-158.25
61.75,-157.75
61.75,-157.25
61.75,-156.75
61.75,-156.25
61.75,-155.75
61.75,-155.25
61.75,-154.75
61.75,-154.25
61.75,-153.75
61.75,-153.25
61.75,-152.75
61.75,-152.25
61.75,-151.75
61.75,-151.25
61.75,-150.75
61.75,-150.25
61.75,-149.75
61.75,-149.25
61.75,-148.75
61.75,-148.25
61.75,-147.75
61.75,-147.25
61.75,-146.75
61.75,-146.25
61.75,-145.75
61.75,-145.25
61.75,-144.75
62.25,-165.25
62.25,-164.75
62.25,-164.25
62.25,-163.75
62.25,-163.25
62.25,-162.75
62.25,-162.25
62.25,-161.75
62.25,-161.25
62.25,-160.75
62.25,-160.25
62.25,-159.75
62.25,-159.25
62.25,-158.75
62.25,-158.25
62.25,-157.75
62.25,-157.25
62.25,-156.75
62.25,-156.25
62.25,-155.75
62.25,-155.25
62.25,-154.75
62.25,-154.25
62.25,-153.75
62.25,-153.25
62.25,-152.75
62.25,-152.25
62.25,-151.75
62.25,-151.25
62.25,-150.75
62.25,-150.25
62.25,-149.75
62.25,-149.25
62.25,-148.75
62.25,-148.25
62.25,-147.75
62.25,-147.25
62.25,-146.75
62.25,-146.25
62.25,-145.75
62.25,-145.25
62.25,-144.75
62.75,-164.75
62.75,-164.25
62.75,-163.75
62.75,-163.25
62.75,-162.75
62.75,-162.25
62.75,-161.75
62.75,-161.25
62.75,-160.75
62.75,-160.25
62.75,-159.75
62.75,-159.25
62.75,-158.75
62.75,-158.25
62.75,-157.75
62.75,-157.25
62.75,-156.75
62.75,-156.25
62.75,-155.75
62.75,-155.25
62.75,-154.75
62.75,-154.25
62.75,-153.75
62.75,-153.25
62.75,-152.75
62.75,-152.25
62.75,-151.75
62.75,-151.25
62.75,-150.75
62.75,-150.25
62.75,-149.75
62.75,-149.25
62.75,-148.75
62.75,-148.25
62.75,-147.75
62.75,-147.25
62.75,-146.75
62.75,-146.25
62.75,-145.75
62.75,-145.25
62.75,-144.75
63.25,-170.25
63.25,-169.75
63.25,-169.25
63.25,-168.75
63.25,-162.25
63.25,-161.75
63.25,-161.25
63.25,-160.75
63.25,-160.25
63.25,-159.75
63.25,-159.25
63.25,-158.75
63.25,-158.25
63.25,-157.75
63.25,-157.25
63.25,-156.75
63.25,-156.25
63.25,-155.75
63.25,-155.25
63.25,-154.75
63.25,-154.25
63.25,-153.75
63.25,-153.25
63.25,-152.75
63.25,-152.25
63.25,-151.75
63.25,-151.25
63.25,-150.75
63.25,-150.25
63.25,-149.75
63.25,-149.25
63.25,-148.75
63.25,-148.25
63.25,-147.75
63.25,-147.25
63.25,-146.75
63.25,-146.25
63.25,-145.75
63.25,-145.25
63.25,-144.75
63.75,-160.75
63.75,-160.25
63.75,-159.75
63.75,-159.25
63.75,-158.75
63.75,-158.25
63.75,-157.75
63.75,-157.25
63.75,-156.75
63.75,-156.25
63.75,-155.75
63.75,-155.25
63.75,-154.75
63.75,-154.25
63.75,-153.75
63.75,-153.25
63.75,-152.75
63.75,-152.25
63.75,-151.75
63.75,-151.25
63.75,-150.75
63.75,-150.25
63.75,-149.75
63.75,-149.25
63.75,-148.75
63.75,-148.25
63.75,-147.75
63.75,-147.25
63.75,-146.75
63.75,-146.25
63.75,-145.75
63.75,-145.25
63.75,-144.75
64.25,-160.75
64.25,-160.25
64.25,-159.75
64.25,-159.25
64.25,-158.75
64.25,-158.25
64.25,-157.75
64.25,-157.25
64.25,-156.75
64.25,-156.25
64.25,-155.75
64.25,-155.25
64.25,-154.75
64.25,-154.25
64.25,-153.75
64.25,-153.25
64.25,-152.75
64.25,-152.25
64.25,-151.75
64.25,-151.25
64.25,-150.75
64.25,-150.25
64.25,-149.75
64.25,-149.25
64.25,-148.75
64.25,-148.25
64.25,-147.75
64.25,-147.25
64.25,-146.75
64.25,-146.25
64.25,-145.75
64.25,-145.25
64.25,-144.75
64.75,-174.25
64.75,-173.75
64.75,-173.25
64.75,-172.25
64.75,-166.25
64.75,-165.75
64.75,-165.25
64.75,-164.75
64.75,-164.25
64.75,-163.75
64.75,-163.25
64.75,-162.75
64.75,-162.25
64.75,-160.75
64.75,-160.25
64.75,-159.75
64.75,-159.25
64.75,-158.75
64.75,-158.25
64.75,-157.75
64.75,-157.25
64.75,-156.75
64.75,-156.25
64.75,-155.75
64.75,-155.25
64.75,-154.75
64.75,-154.25
64.75,-153.75
64.75,-153.25
64.75,-152.75
64.75,-152.25
64.75,-151.75
64.75,-151.25
64.75,-150.75
64.75,-150.25
64.75,-149.75
64.75,-149.25
64.75,-148.75
64.75,-148.25
64.75,-147.75
64.75,-147.25
64.75,-146.75
64.75,-146.25
64.75,-145.75
64.75,-145.25
64.75,-144.75
65.25,-179.75
65.25,-175.75
65.25,-175.25
65.25,-174.75
65.25,-174.25
65.25,-173.75
65.25,-173.25
65.25,-172.75
65.25,-172.25
65.25,-166.25
65.25,-165.75
65.25,-165.25
65.25,-164.75
65.25,-164.25
65.25,-163.75
65.25,-163.25
65.25,-162.75
65.25,-162.25
65.25,-161.75
65.25,-161.25
65.25,-160.75
65.25,-160.25
65.25,-159.75
65.25,-159.25
65.25,-158.75
65.25,-158.25
65.25,-157.75
65.25,-157.25
65.25,-156.75
65.25,-156.25
65.25,-155.75
65.25,-155.25
65.25,-154.75
65.25,-154.25
65.25,-153.75
65.25,-153.25
65.25,-152.75
65.25,-152.25
65.25,-151.75
65.25,-151.25
65.25,-150.75
65.25,-150.25
65.25,-149.75
65.25,-149.25
65.25,-148.75
65.25,-148.25
65.25,-147.75
65.25,-147.25
65.25,-146.75
65.25,-146.25
65.25,-145.75
65.25,-145.25
65.25,-144.75
65.75,-179.75
65.75,-178.25
65.75,-177.75
65.75,-177.25
65.75,-176.75
65.75,-176.25
65.75,-175.75
65.75,-175.25
65.75,-174.75
65.75,-174.25
