lat,lng
71.5,-180
71.5,-179.75
71.5,-179.5
71.5,-179.25
71.5,-179
71.5,-178.75
71.5,-178.5
71.25,-180
71.25,-179.75
71.25,-179.5
71.25,-179.25
71.25,-179
71.25,-178.75
71.25,-178.5
71.25,-178.25
71.25,-178
71.25,-177.75
71.25,-156.75
71.25,-156.5
71.25,-156.25
71,-180
71,-179.75
71,-179.5
71,-179.25
71,-179
71,-178.75
71,-178.5
71,-157.25
71,-157
71,-156.75
71,-156.5
71,-156.25
71,-156
71,-155.75
71,-155.25
71,-155
71,-154.75
70.75,-159.75
70.75,-159.5
70.75,-159.25
70.75,-159
70.75,-158.75
70.75,-158.5
70.75,-158.25
70.75,-158
70.75,-157.75
70.75,-157.5
70.75,-157.25
70.75,-157
70.75,-156.75
70.75,-156.5
70.75,-156.25
70.75,-156
70.75,-155.75
70.75,-155.5
70.75,-155.25
70.75,-155
70.75,-154.75
70.75,-154.5
70.75,-154.25
70.75,-154
70.75,-153.75
70.75,-153.5
70.75,-153.25
70.75,-153
70.75,-152.75
70.75,-152.5
70.5,-160.25
70.5,-159.5
70.5,-159.25
70.5,-159
70.5,-158.75
70.5,-158.5
70.5,-158.25
70.5,-158
70.5,-157.75
70.5,-157.5
70.5,-157.25
70.5,-157
70.5,-156.75
70.5,-156.5
70.5,-156.25
70.5,-156
70.5,-155.75
70.5,-155.5
70.5,-155.25
70.5,-155
70.5,-154.75
70.5,-154.5
70.5,-154.25
70.5,-154
70.5,-153.75
70.5,-153.5
70.5,-153.25
70.5,-153
70.5,-152.75
70.5,-152.5
70.5,-152.25
70.5,-152
70.5,-151.75
70.5,-150.75
70.5,-150.5
70.5,-149.75
70.5,-149.5
70.25,-161.75
70.25,-161.25
70.25,-161
70.25,-160.75
70.25,-160.5
70.25,-160.25
70.25,-160
70.25,-159.75
70.25,-159.5
70.25,-159.25
70.25,-159
70.25,-158.75
70.25,-158.5
70.25,-158.25
70.25,-158
70.25,-157.75
70.25,-157.5
70.25,-157.25
70.25,-157
70.25,-156.75
70.25,-156.5
70.25,-156.25
70.25,-156
70.25,-155.75
70.25,-155.5
70.25,-155.25
70.25,-155
70.25,-154.75
70.25,-154.5
70.25,-154.25
70.25,-154
70.25,-153.75
70.25,-153.5
70.25,-153.25
70.25,-153
70.25,-152.75
70.25,-152.5
70.25,-152.25
70.25,-152
70.25,-151.75
70.25,-151.5
70.25,-151.25
70.25,-151
70.25,-150.75
70.25,-150.5
70.25,-150.25
70.25,-150
70.25,-149.75
70.25,-149.5
70.25,-149.25
70.25,-149
70.25,-148.75
70.25,-148.5
70.25,-148.25
70.25,-148
70,-162.25
70,-162
70,-161.75
70,-161.5
70,-161.25
70,-161
70,-160.75
70,-160.5
70,-160.25
70,-160
70,-159.75
70,-159.5
70,-159.25
70,-159
70,-158.75
70,-158.5
70,-158.25
70,-158
70,-157.75
70,-157.5
70,-157.25
70,-157
70,-156.75
70,-156.5
70,-156.25
70,-156
70,-155.75
70,-155.5
70,-155.25
70,-155
70,-154.75
70,-154.5
70,-154.25
70,-154
70,-153.75
70,-153.5
70,-153.25
70,-153
70,-152.75
70,-152.5
70,-152.25
70,-152
70,-151.75
70,-151.5
70,-151.25
70,-151
70,-150.75
70,-150.5
70,-150.25
70,-150
70,-149.75
70,-149.5
70,-149.25
70,-149
70,-148.75
70,-148.5
70,-148.25
70,-148
70,-147.75
70,-147.5
70,-147.25
70,-147
70,-146.75
70,-146.5
70,-146.25
70,-146
70,-145.75
70,-145.5
69.75,-163
69.75,-162.75
69.75,-162.5
69.75,-162.25
69.75,-162
69.75,-161.75
69.75,-161.5
69.75,-161.25
69.75,-161
69.75,-160.75
69.75,-160.5
69.75,-160.25
69.75,-160
69.75,-159.75
69.75,-159.5
69.75,-159.25
69.75,-159
69.75,-158.75
69.75,-158.5
69.75,-158.25
69.75,-158
69.75,-157.75
69.75,-157.5
69.75,-157.25
69.75,-157
69.75,-156.75
69.75,-156.5
69.75,-156.25
69.75,-156
69.75,-155.75
69.75,-155.5
69.75,-155.25
69.75,-155
69.75,-154.75
69.75,-154.5
69.75,-154.25
69.75,-154
69.75,-153.75
69.75,-153.5
69.75,-153.25
69.75,-153
69.75,-152.75
69.75,-152.5
69.75,-152.25
69.75,-152
69.75,-151.75
69.75,-151.5
69.75,-151.25
69.75,-151
69.75,-150.75
69.75,-150.5
69.75,-150.25
69.75,-150
69.75,-149.75
69.75,-149.5
69.75,-149.25
69.75,-149
69.75,-148.75
69.75,-148.5
69.75,-148.25
69.75,-148
69.75,-147.75
69.75,-147.5
69.75,-147.25
69.75,-147
69.75,-146.75
69.75,-146.5
69.75,-146.25
69.75,-146
69.75,-145.75
69.75,-145.5
69.75,-145.25
69.75,-145
69.5,-163
69.5,-162.75
69.5,-162.5
69.5,-162.25
69.5,-162
69.5,-161.75
69.5,-161.5
69.5,-161.25
69.5,-161
69.5,-160.75
69.5,-160.5
69.5,-160.25
69.5,-160
69.5,-159.75
69.5,-159.5
69.5,-159.25
69.5,-159
69.5,-158.75
69.5,-158.5
69.5,-158.25
69.5,-158
69.5,-157.75
69.5,-157.5
69.5,-157.25
69.5,-157
69.5,-156.75
69.5,-156.5
69.5,-156.25
69.5,-156
69.5,-155.75
69.5,-155.5
69.5,-155.25
69.5,-155
69.5,-154.75
69.5,-154.5
69.5,-154.25
69.5,-154
69.5,-153.75
69.5,-153.5
69.5,-153.25
69.5,-153
69.5,-152.75
69.5,-152.5
69.5,-152.25
69.5,-152
69.5,-151.75
69.5,-151.5
69.5,-151.25
69.5,-151
69.5,-150.75
69.5,-150.5
69.5,-150.25
69.5,-150
69.5,-149.75
69.5,-149.5
69.5,-149.25
69.5,-149
69.5,-148.75
69.5,-148.5
69.5,-148.25
69.5,-148
69.5,-147.75
69.5,-147.5
69.5,-147.25
69.5,-147
69.5,-146.75
69.5,-146.5
69.5,-146.25
69.5,-146
69.5,-145.75
69.5,-145.5
69.5,-145.25
69.5,-145
69.25,-163.25
69.25,-163
69.25,-162.75
69.25,-162.5
69.25,-162.25
69.25,-162
69.25,-161.75
69.25,-161.5
69.25,-161.25
69.25,-161
69.25,-160.75
69.25,-160.5
69.25,-160.25
69.25,-160
69.25,-159.75
69.25,-159.5
69.25,-159.25
69.25,-159
69.25,-158.75
69.25,-158.5
69.25,-158.25
69.25,-158
69.25,-157.75
69.25,-157.5
69.25,-157.25
69.25,-157
69.25,-156.75
69.25,-156.5
69.25,-156.25
69.25,-156
69.25,-155.75
69.25,-155.5
69.25,-155.25
69.25,-155
69.25,-154.75
69.25,-154.5
69.25,-154.25
69.25,-154
69.25,-153.75
69.25,-153.5
69.25,-153.25
69.25,-153
69.25,-152.75
69.25,-152.5
69.25,-152.25
69.25,-152
69.25,-151.75
69.25,-151.5
69.25,-151.25
69.25,-151
69.25,-150.75
69.25,-150.5
69.25,-150.25
69.25,-150
69.25,-149.75
69.25,-149.5
69.25,-149.25
69.25,-149
69.25,-148.75
69.25,-148.5
69.25,-148.25
69.25,-148
69.25,-147.75
69.25,-147.5
69.25,-147.25
69.25,-147
69.25,-146.75
69.25,-146.5
69.25,-146.25
69.25,-146
69.25,-145.75
69.25,-145.5
69.25,-145.25
69.25,-145
69,-163.75
69,-163.5
69,-163.25
69,-163
69,-162.75
69,-162.5
69,-162.25
69,-162
69,-161.75
69,-161.5
69,-161.25
69,-161
69,-160.75
69,-160.5
69,-160.25
69,-160
69,-159.75
69,-159.5
69,-159.25
69,-159
69,-158.75
69,-158.5
69,-158.25
69,-158
69,-157.75
69,-157.5
69,-157.25
69,-157
69,-156.75
69,-156.5
69,-156.25
69,-156
69,-155.75
69,-155.5
69,-155.25
69,-155
69,-154.75
69,-154.5
69,-154.25
69,-154
69,-153.75
69,-153.5
69,-153.25
69,-153
69,-152.75
69,-152.5
69,-152.25
69,-152
69,-151.75
69,-151.5
69,-151.25
69,-151
69,-150.75
69,-150.5
69,-150.25
69,-150
69,-149.75
69,-149.5
69,-149.25
69,-149
69,-148.75
69,-148.5
69,-148.25
69,-148
69,-147.75
69,-147.5
69,-147.25
69,-147
69,-146.75
69,-146.5
69,-146.25
69,-146
69,-145.75
69,-145.5
69,-145.25
69,-145
68.75,-180
68.75,-179.75
68.75,-179.5
68.75,-179.25
68.75,-179
68.75,-166
68.75,-165.75
68.75,-165.5
68.75,-165.25
68.75,-165
68.75,-164.75
68.75,-164.5
68.75,-164.25
68.75,-164
68.75,-163.75
68.75,-163.5
68.75,-163.25
68.75,-163
68.75,-162.75
68.75,-162.5
68.75,-162.25
68.75,-162
68.75,-161.75
68.75,-161.5
68.75,-161.25
68.75,-161
68.75,-160.75
68.75,-160.5
68.75,-160.25
68.75,-160
68.75,-159.75
68.75,-159.5
68.75,-159.25
68.75,-159
68.75,-158.75
68.75,-158.5
68.75,-158.25
68.75,-158
68.75,-157.75
68.75,-157.5
68.75,-157.25
68.75,-157
68.75,-156.75
68.75,-156.5
68.75,-156.25
68.75,-156
68.75,-155.75
68.75,-155.5
68.75,-155.25
68.75,-155
68.75,-154.75
68.75,-154.5
68.75,-154.25
68.75,-154
68.75,-153.75
68.75,-153.5
68.75,-153.25
68.75,-153
68.75,-152.75
68.75,-152.5
68.75,-152.25
68.75,-152
68.75,-151.75
