lat,lng
52.5,-171.25
53,-168.75
53.5,-168.125
53.5,-166.875
54.5,-164.375
55,-163.75
55,-161.875
55,-159.375
55.5,-162.5
55.5,-161.875
55.5,-161.25
56,-160
56,-159.375
56.5,-159.375
56.5,-158.75
57,-158.125
57,-157.5
57,-156.875
57,-154.375
57,-153.75
57.5,-156.875
57.5,-156.25
57.5,-154.375
57.5,-153.75
57.5,-153.125
57.5,-152.5
58,-157.5
58,-156.875
58,-156.25
58,-155.625
58.5,-158.75
58.5,-156.875
58.5,-156.25
58.5,-155.625
58.5,-155
58.5,-154.375
58.5,-152.5
59,-161.25
59,-160.625
59,-160
59,-159.375
59,-158.75
59,-157.5
59,-156.25
59,-155.625
59,-155
59,-154.375
59,-153.75
59.5,-161.25
59.5,-160.625
59.5,-160
59.5,-159.375
59.5,-158.75
59.5,-158.125
59.5,-157.5
59.5,-156.875
59.5,-156.25
59.5,-155.625
59.5,-155
59.5,-154.375
59.5,-153.75
59.5,-151.25
59.5,-150.625
60,-166.875
60,-166.25
60,-163.75
60,-163.125
60,-161.875
60,-161.25
60,-160.625
60,-160
60,-159.375
60,-158.75
60,-158.125
60,-157.5
60,-156.875
60,-156.25
60,-155.625
60,-155
60,-154.375
60,-153.75
60,-153.125
60,-151.25
60,-150.625
60,-150
60,-148.75
60,-148.125
60,-147.5
60,-144.375
60,-141.875
60,-141.25
60,-140.625
60,-140
60.5,-164.375
60.5,-163.75
60.5,-163.125
60.5,-162.5
60.5,-161.875
60.5,-161.25
60.5,-160.625
60.5,-160
60.5,-159.375
60.5,-158.75
60.5,-158.125
60.5,-157.5
60.5,-156.875
60.5,-156.25
60.5,-155.625
60.5,-155
60.5,-154.375
60.5,-153.75
60.5,-153.125
60.5,-152.5
60.5,-151.25
60.5,-150.625
60.5,-150
60.5,-149.375
60.5,-148.75
60.5,-148.125
60.5,-146.25
60.5,-145.625
60.5,-145
60.5,-144.375
60.5,-143.75
60.5,-143.125
60.5,-142.5
60.5,-141.875
60.5,-141.25
60.5,-140.625
60.5,-140
61,-165
61,-164.375
61,-163.75
61,-163.125
61,-162.5
61,-161.875
61,-161.25
61,-160.625
61,-160
61,-159.375
61,-158.75
61,-158.125
61,-157.5
61,-156.875
61,-156.25
61,-155.625
61,-155
61,-154.375
61,-153.75
61,-153.125
61,-152.5
61,-151.875
61,-149.375
61,-148.75
61,-147.5
61,-146.875
61,-146.25
61,-145.625
61,-145
61,-144.375
61,-143.75
61,-143.125
61,-142.5
61,-141.875
61,-141.25
61,-140.625
61,-140
61.5,-165.625
61.5,-165
61.5,-164.375
61.5,-163.75
61.5,-163.125
61.5,-162.5
61.5,-161.875
61.5,-161.25
61.5,-160.625
61.5,-160
61.5,-159.375
61.5,-158.75
61.5,-158.125
61.5,-157.5
61.5,-156.875
61.5,-156.25
61.5,-155.625
61.5,-155
61.5,-154.375
61.5,-153.75
61.5,-153.125
61.5,-152.5
61.5,-151.875
61.5,-151.25
61.5,-150.625
61.5,-150
61.5,-149.375
61.5,-148.75
61.5,-148.125
61.5,-147.5
61.5,-146.875
61.5,-146.25
61.5,-145.625
61.5,-145
61.5,-144.375
61.5,-143.75
61.5,-143.125
